layer,geoid,topic,stratification,period,value
City or town,5502375,FVDEYLCV,,2019-2020,17175
City or town,5502375,FVDEYLCV,NOT2,2019-2020,13850
City or town,5502375,FVDEYLCV,SWD1,2019-2020,2691
City or town,5502375,FVDEYLCV,SWO1,2019-2020,13850
City or town,5502375,FVDEYLCV,ECO1,2019-2020,6950
City or town,5502375,FVDEYLCV,NOT3,2019-2020,10219
City or town,5502375,FVDEYLCV,EL1,2019-2020,1416
City or town,5502375,FVDEYLCV,ENG3,2019-2020,15759
City or town,5502375,FVDEYLCV,FEM3,2019-2020,8448
City or town,5502375,FVDEYLCV,MAL15,2019-2020,8727
City or town,5502375,FVDEYLCV,X1S2,2019-2020,1256
City or town,5502375,FVDEYLCV,X2N2,2019-2020,1266
City or town,5502375,FVDEYLCV,X3R2,2019-2020,1315
City or town,5502375,FVDEYLCV,X4T2,2019-2020,1233
City or town,5502375,FVDEYLCV,X5T3,2019-2020,1324
City or town,5502375,FVDEYLCV,X6T3,2019-2020,1261
City or town,5502375,FVDEYLCV,KIN2,2019-2020,1218
City or town,5502375,FVDEYLCV,NOT4,2019-2020,17175
City or town,5502375,FVDEYLCV,B,2019-2020,784
City or town,5502375,FVDEYLCV,H,2019-2020,1795
City or town,5502375,FVDEYLCV,Q,2019-2020,673
City or town,5502375,FVDEYLCV,W,2019-2020,11881
City or town,5502375,FVDEYLCV,SIG1,2019-2020,233
City or town,5502375,FVDEYLCV,SPE3,2019-2020,504
City or town,5502375,FVDEYLCV,K41,2019-2020,926
City or town,5502375,FVDEYLCV,P,2019-2020,107
City or town,5502375,FVDEYLCV,A,2019-2020,1910
City or town,5502375,FVDEYLCV,P1,2019-2020,25
City or town,5502375,FVDEYLCV,X113,2019-2020,1228
City or town,5502375,FVDEYLCV,X1210,2019-2020,1322
City or town,5502375,FVDEYLCV,X1012,2019-2020,1239
City or town,5502375,FVDEYLCV,X9T3,2019-2020,1190
City or town,5502375,FVDEYLCV,SPE2,2019-2020,527
City or town,5502375,FVDEYLCV,PK1,2019-2020,127
City or town,5502375,FVDEYLCV,EMO1,2019-2020,238
City or town,5502375,FVDEYLCV,OTH52,2019-2020,446
City or town,5502375,FVDEYLCV,AUT2,2019-2020,324
City or town,5502375,FVDEYLCV,INT7,2019-2020,115
City or town,5502375,FVDEYLCV,X7T2,2019-2020,1124
City or town,5502375,FVDEYLCV,X8T2,2019-2020,1146
City or town,5509725,FVDEYLCV,,2019-2020,956
City or town,5509725,FVDEYLCV,NOT2,2019-2020,836
City or town,5509725,FVDEYLCV,SIG1,2019-2020,13
City or town,5509725,FVDEYLCV,SPE3,2019-2020,20
City or town,5509725,FVDEYLCV,SWD1,2019-2020,120
City or town,5509725,FVDEYLCV,SWO1,2019-2020,836
City or town,5509725,FVDEYLCV,ECO1,2019-2020,309
City or town,5509725,FVDEYLCV,NOT3,2019-2020,647
City or town,5509725,FVDEYLCV,EL1,2019-2020,46
City or town,5509725,FVDEYLCV,ENG3,2019-2020,910
City or town,5509725,FVDEYLCV,FEM3,2019-2020,478
City or town,5509725,FVDEYLCV,MAL15,2019-2020,478
City or town,5509725,FVDEYLCV,X1S2,2019-2020,57
City or town,5509725,FVDEYLCV,X2N2,2019-2020,67
City or town,5509725,FVDEYLCV,X3R2,2019-2020,49
City or town,5509725,FVDEYLCV,X4T2,2019-2020,69
City or town,5509725,FVDEYLCV,X5T3,2019-2020,56
City or town,5509725,FVDEYLCV,K41,2019-2020,47
