layer,geoid,topic,stratification,period,value
County,55087,FVDEYLCV,,2022-2023,60037
County,55087,FVDEYLCV,A,2022-2023,3451
County,55087,FVDEYLCV,AUT2,2022-2023,1068
County,55087,FVDEYLCV,B,2022-2023,2136
County,55087,FVDEYLCV,BLI1,2022-2023,18
County,55087,FVDEYLCV,DEA1,2022-2023,82
County,55087,FVDEYLCV,ECO1,2022-2023,20782
County,55087,FVDEYLCV,EL1,2022-2023,3473
County,55087,FVDEYLCV,EMO1,2022-2023,940
County,55087,FVDEYLCV,ENG3,2022-2023,56564
County,55015,FVDEYLCV,FEM3,2022-2023,13042
County,55087,FVDEYLCV,H,2022-2023,5510
County,55087,FVDEYLCV,INT7,2022-2023,314
County,55087,FVDEYLCV,K41,2022-2023,3187
County,55087,FVDEYLCV,KIN2,2022-2023,3953
County,55087,FVDEYLCV,MAL15,2022-2023,31066
County,55087,FVDEYLCV,NON10,2022-2023,6
County,55087,FVDEYLCV,NOT2,2022-2023,51126
County,55087,FVDEYLCV,NOT3,2022-2023,39255
County,55087,FVDEYLCV,NOT4,2022-2023,59305
County,55087,FVDEYLCV,ORT3,2022-2023,11
County,55087,FVDEYLCV,OTH52,2022-2023,1749
County,55087,FVDEYLCV,P,2022-2023,435
County,55087,FVDEYLCV,P1,2022-2023,61
County,55087,FVDEYLCV,PK1,2022-2023,300
County,55087,FVDEYLCV,Q,2022-2023,3113
County,55087,FVDEYLCV,SIG1,2022-2023,806
County,55087,FVDEYLCV,SPE2,2022-2023,1798
County,55087,FVDEYLCV,SPE3,2022-2023,1935
County,55087,FVDEYLCV,SWD1,2022-2023,8911
County,55087,FVDEYLCV,SWO1,2022-2023,51126
County,55087,FVDEYLCV,W,2022-2023,45331
County,55087,FVDEYLCV,X1012,2022-2023,4769
County,55087,FVDEYLCV,X113,2022-2023,4564
County,55087,FVDEYLCV,X1210,2022-2023,4821
County,55087,FVDEYLCV,X1S2,2022-2023,4094
County,55087,FVDEYLCV,X2N2,2022-2023,4082
County,55087,FVDEYLCV,X3R2,2022-2023,4061
County,55087,FVDEYLCV,X4T2,2022-2023,4124
County,55087,FVDEYLCV,X5T3,2022-2023,4277
County,55087,FVDEYLCV,X6T3,2022-2023,4348
County,55087,FVDEYLCV,X7T2,2022-2023,4349
County,55087,FVDEYLCV,X8T2,2022-2023,4516
County,55087,FVDEYLCV,X9T3,2022-2023,4592
