layer,geoid,topic,stratification,period,value
State,WI,FVDEYLCV,,2018-2019,858833
State,WI,FVDEYLCV,A,2018-2019,34711
State,WI,FVDEYLCV,AUT2,2018-2019,12907
State,WI,FVDEYLCV,B,2018-2019,77839
State,WI,FVDEYLCV,BLI1,2018-2019,471
State,WI,FVDEYLCV,DEA1,2018-2019,1649
State,WI,FVDEYLCV,DEA2,2018-2019,6
State,WI,FVDEYLCV,ECO1,2018-2019,349386
State,WI,FVDEYLCV,EL1,2018-2019,51825
State,WI,FVDEYLCV,EMO1,2018-2019,12001
State,WI,FVDEYLCV,ENG3,2018-2019,807004
State,WI,FVDEYLCV,FEM3,2018-2019,416482
State,WI,FVDEYLCV,H,2018-2019,105863
State,WI,FVDEYLCV,INT7,2018-2019,6934
State,WI,FVDEYLCV,K31,2018-2019,1921
State,WI,FVDEYLCV,K41,2018-2019,49032
State,WI,FVDEYLCV,KIN2,2018-2019,56915
State,WI,FVDEYLCV,MAL15,2018-2019,442351
State,WI,FVDEYLCV,MIG1,2018-2019,371
State,WI,FVDEYLCV,NOT2,2018-2019,738217
State,WI,FVDEYLCV,NOT3,2018-2019,509447
State,WI,FVDEYLCV,NOT4,2018-2019,858462
State,WI,FVDEYLCV,ORT3,2018-2019,802
State,WI,FVDEYLCV,OTH52,2018-2019,22898
State,WI,FVDEYLCV,P,2018-2019,9516
State,WI,FVDEYLCV,P1,2018-2019,651
State,WI,FVDEYLCV,PK1,2018-2019,5143
State,WI,FVDEYLCV,Q,2018-2019,35229
State,WI,FVDEYLCV,SIG1,2018-2019,10255
State,WI,FVDEYLCV,SPE2,2018-2019,26115
State,WI,FVDEYLCV,SPE3,2018-2019,26240
State,WI,FVDEYLCV,SWD1,2018-2019,120602
State,WI,FVDEYLCV,SWO1,2018-2019,738217
State,WI,FVDEYLCV,TRA11,2018-2019,324
State,WI,FVDEYLCV,UNK2,2018-2019,14
State,WI,FVDEYLCV,UNK4,2018-2019,4
State,WI,FVDEYLCV,UNK5,2018-2019,4
State,WI,FVDEYLCV,UNK6,2018-2019,14
State,WI,FVDEYLCV,W,2018-2019,595020
State,WI,FVDEYLCV,X1012,2018-2019,64687
State,WI,FVDEYLCV,X113,2018-2019,63643
State,WI,FVDEYLCV,X1210,2018-2019,66130
State,WI,FVDEYLCV,X1S2,2018-2019,57236
State,WI,FVDEYLCV,X2N2,2018-2019,57706
State,WI,FVDEYLCV,X3R2,2018-2019,58744
State,WI,FVDEYLCV,X4T2,2018-2019,61157
State,WI,FVDEYLCV,X5T3,2018-2019,62329
State,WI,FVDEYLCV,X6T3,2018-2019,63275
State,WI,FVDEYLCV,X7T2,2018-2019,62193
State,WI,FVDEYLCV,X8T2,2018-2019,61964
State,WI,FVDEYLCV,X9T3,2018-2019,66758
