layer,geoid,topic,stratification,period,value
Region,fox-valley,FVDEYLCV,,2023-2024,59537
Region,fox-valley,FVDEYLCV,A,2023-2024,3485
Region,fox-valley,FVDEYLCV,AUT2,2023-2024,1142
Region,fox-valley,FVDEYLCV,B,2023-2024,2307
Region,fox-valley,FVDEYLCV,BLI1,2023-2024,16
Region,fox-valley,FVDEYLCV,DEA1,2023-2024,61
Region,fox-valley,FVDEYLCV,DEA2,2023-2024,0
Region,fox-valley,FVDEYLCV,ECO1,2023-2024,21984
Region,fox-valley,FVDEYLCV,EL1,2023-2024,3622
Region,fox-valley,FVDEYLCV,EMO1,2023-2024,906
Region,fox-valley,FVDEYLCV,ENG3,2023-2024,55914
Region,fox-valley,FVDEYLCV,FEM3,2023-2024,13684
Region,fox-valley,FVDEYLCV,H,2023-2024,5691
Region,fox-valley,FVDEYLCV,INT7,2023-2024,320
Region,fox-valley,FVDEYLCV,K41,2023-2024,3067
Region,fox-valley,FVDEYLCV,KIN2,2023-2024,3795
Region,fox-valley,FVDEYLCV,MAL15,2023-2024,30783
Region,fox-valley,FVDEYLCV,NON10,2023-2024,12
Region,fox-valley,FVDEYLCV,NOT2,2023-2024,50297
Region,fox-valley,FVDEYLCV,NOT3,2023-2024,37553
Region,fox-valley,FVDEYLCV,NOT4,2023-2024,59537
Region,fox-valley,FVDEYLCV,ORT3,2023-2024,10
Region,fox-valley,FVDEYLCV,OTH52,2023-2024,1892
Region,fox-valley,FVDEYLCV,P,2023-2024,443
Region,fox-valley,FVDEYLCV,P1,2023-2024,65
Region,fox-valley,FVDEYLCV,PK1,2023-2024,320
Region,fox-valley,FVDEYLCV,Q,2023-2024,3317
Region,fox-valley,FVDEYLCV,SIG1,2023-2024,852
Region,fox-valley,FVDEYLCV,SPE2,2023-2024,1891
Region,fox-valley,FVDEYLCV,SPE3,2023-2024,1964
Region,fox-valley,FVDEYLCV,SWD1,2023-2024,9239
Region,fox-valley,FVDEYLCV,SWO1,2023-2024,50297
Region,fox-valley,FVDEYLCV,TRA11,2023-2024,0
Region,fox-valley,FVDEYLCV,UNK2,2023-2024,186
Region,fox-valley,FVDEYLCV,UNK4,2023-2024,1
Region,fox-valley,FVDEYLCV,UNK6,2023-2024,1
Region,fox-valley,FVDEYLCV,UNK7,2023-2024,15058
Region,fox-valley,FVDEYLCV,UNK8,2023-2024,0
Region,fox-valley,FVDEYLCV,W,2023-2024,44229
Region,fox-valley,FVDEYLCV,X1012,2023-2024,4586
Region,fox-valley,FVDEYLCV,X113,2023-2024,4789
Region,fox-valley,FVDEYLCV,X1210,2023-2024,4729
Region,fox-valley,FVDEYLCV,X1S2,2023-2024,3987
Region,fox-valley,FVDEYLCV,X2N2,2023-2024,4116
Region,fox-valley,FVDEYLCV,X3R2,2023-2024,4096
Region,fox-valley,FVDEYLCV,X4T2,2023-2024,4050
Region,fox-valley,FVDEYLCV,X5T3,2023-2024,4175
Region,fox-valley,FVDEYLCV,X6T3,2023-2024,4324
Region,fox-valley,FVDEYLCV,X7T2,2023-2024,4463
Region,fox-valley,FVDEYLCV,X8T2,2023-2024,4370
Region,fox-valley,FVDEYLCV,X9T3,2023-2024,4670
