layer,geoid,topic,stratification,period,value
Zip code,53014,FVDEYLCV,,2023-2024,1082
Zip code,53014,FVDEYLCV,A,2023-2024,4
Zip code,53014,FVDEYLCV,AUT2,2023-2024,17
Zip code,53014,FVDEYLCV,B,2023-2024,11
Zip code,53014,FVDEYLCV,ECO1,2023-2024,388
Zip code,53014,FVDEYLCV,EL1,2023-2024,119
Zip code,53014,FVDEYLCV,EMO1,2023-2024,34
Zip code,53014,FVDEYLCV,ENG3,2023-2024,963
Zip code,53014,FVDEYLCV,FEM3,2023-2024,508
Zip code,53014,FVDEYLCV,H,2023-2024,175
Zip code,53014,FVDEYLCV,K41,2023-2024,43
Zip code,53014,FVDEYLCV,KIN2,2023-2024,48
Zip code,53014,FVDEYLCV,MAL15,2023-2024,565
Zip code,53014,FVDEYLCV,NOT2,2023-2024,888
Zip code,53014,FVDEYLCV,NOT3,2023-2024,685
Zip code,53014,FVDEYLCV,NOT4,2023-2024,1082
Zip code,53014,FVDEYLCV,OTH52,2023-2024,41
Zip code,53014,FVDEYLCV,P1,2023-2024,3
Zip code,53014,FVDEYLCV,PK1,2023-2024,11
Zip code,53014,FVDEYLCV,Q,2023-2024,27
Zip code,53014,FVDEYLCV,SIG1,2023-2024,23
Zip code,53014,FVDEYLCV,SPE2,2023-2024,18
Zip code,53014,FVDEYLCV,SPE3,2023-2024,20
Zip code,53014,FVDEYLCV,SWD1,2023-2024,185
Zip code,53014,FVDEYLCV,SWO1,2023-2024,888
Zip code,53014,FVDEYLCV,W,2023-2024,862
Zip code,53014,FVDEYLCV,X1012,2023-2024,93
Zip code,53014,FVDEYLCV,X113,2023-2024,104
Zip code,53014,FVDEYLCV,X1210,2023-2024,102
Zip code,53014,FVDEYLCV,X1S2,2023-2024,71
Zip code,53014,FVDEYLCV,X2N2,2023-2024,81
Zip code,53014,FVDEYLCV,X3R2,2023-2024,67
Zip code,53014,FVDEYLCV,X4T2,2023-2024,58
Zip code,53014,FVDEYLCV,X5T3,2023-2024,63
Zip code,53014,FVDEYLCV,X6T3,2023-2024,84
Zip code,53014,FVDEYLCV,X7T2,2023-2024,69
Zip code,53014,FVDEYLCV,X8T2,2023-2024,94
