Layer,Name,GEOID
Region,Fox Valley Tri-County Region ,fox-valley
County,"Calumet County, WI",55015
County,"Outagamie County, WI",55087
County,"Winnebago County, WI",55139
Zip code,53014,53014
Zip code,53020,53020
Zip code,53042,53042
Zip code,53049,53049
Zip code,53061,53061
Zip code,53088,53088
Zip code,54106,54106
Zip code,54107,54107
Zip code,54110,54110
Zip code,54113,54113
Zip code,54115,54115
Zip code,54123,54123
Zip code,54129,54129
Zip code,54130,54130
Zip code,54136,54136
Zip code,54140,54140
Zip code,54152,54152
Zip code,54155,54155
Zip code,54160,54160
Zip code,54165,54165
Zip code,54169,54169
Zip code,54170,54170
Zip code,54180,54180
Zip code,54313,54313
Zip code,54901,54901
Zip code,54902,54902
Zip code,54904,54904
Zip code,54911,54911
Zip code,54913,54913
Zip code,54914,54914
Zip code,54915,54915
Zip code,54922,54922
Zip code,54923,54923
Zip code,54927,54927
Zip code,54929,54929
Zip code,54931,54931
Zip code,54940,54940
Zip code,54942,54942
Zip code,54944,54944
Zip code,54947,54947
Zip code,54952,54952
Zip code,54956,54956
Zip code,54961,54961
Zip code,54963,54963
Zip code,54964,54964
Zip code,54971,54971
Zip code,54979,54979
Zip code,54980,54980
Zip code,54985,54985
Zip code,54986,54986
Census tract,Tract 201,55015020100
Census tract,Tract 202,55015020200
Census tract,Tract 203.03,55015020303
Census tract,Tract 203.04,55015020304
Census tract,Tract 203.06,55015020306
Census tract,Tract 203.08,55015020308
Census tract,Tract 204,55015020400
Census tract,Tract 205,55015020500
Census tract,Tract 206,55015020600
Census tract,Tract 207,55015020700
Census tract,Tract 208,55015020800
Census tract,Tract 101,55087010100
Census tract,Tract 102,55087010200
Census tract,Tract 103,55087010300
Census tract,Tract 105.01,55087010501
Census tract,Tract 105.02,55087010502
Census tract,Tract 106.01,55087010601
Census tract,Tract 106.02,55087010602
Census tract,Tract 107,55087010700
Census tract,Tract 108,55087010800
Census tract,Tract 109,55087010900
Census tract,Tract 110.01,55087011001
Census tract,Tract 110.02,55087011002
Census tract,Tract 111.01,55087011101
Census tract,Tract 111.03,55087011103
Census tract,Tract 111.04,55087011104
Census tract,Tract 112,55087011200
Census tract,Tract 113,55087011300
Census tract,Tract 114,55087011400
Census tract,Tract 115.01,55087011501
Census tract,Tract 115.02,55087011502
Census tract,Tract 116,55087011600
Census tract,Tract 117,55087011700
Census tract,Tract 118,55087011800
Census tract,Tract 119.01,55087011901
Census tract,Tract 119.02,55087011902
Census tract,Tract 120,55087012000
Census tract,Tract 121.01,55087012101
Census tract,Tract 121.02,55087012102
