LEA Code,District Name,School Code,School Name,Organization Type,School Type,Low Grade,High Grade,Address,City,State,Zip,CESA,Locale,County,Current Status,Categories And Programs,Virtual School,IB Program,Phone Number,Fax Number,Charter Status,Website Url
8010,Racine Charter One Inc,8110,21st Century Preparatory School,Independent Charter School,Elementary School,K4,08,1220 Mound Ave,Racine,WI,53404,01,City - small,Racine,OPEN,"Charter, Title I",Supplemental Virtual,,262-598-0026,262-598-0031,TRUE,www.21stprepschool.org
2835,Kimberly Area,0150,4K Center for Literacy,Public School,Elementary School,K4,K4,614 E Kimberly Ave,Kimberly,WI,54136,06,Suburb - midsize,Outagamie,OPEN,,,,920-423-4190,920-423-4191,FALSE,www.kimberly.k12.wi.us
4753,Reedsburg,0150,4K Community-Based,Public School,Elementary School,K4,K4,401 Alexander Ave,Reedsburg,WI,53959,05,Town - distant,Sauk,OPEN,,Supplemental Virtual,,608-768-8934,608-768-8935,FALSE,www.rsd.k12.wi.us
3381,McFarland,0150,4K McFarland,Public School,Elementary School,K4,K4,6009 Johnson St,McFarland,WI,53558,02,Suburb - large,Dane,OPEN,,Supplemental Virtual,,608-838-4602,608-838-4612,FALSE,www.mcfarland.k12.wi.us
3269,Madison Metropolitan,0190,4K PK Off Site,Public School,Elementary School,K4,K4,545 W Dayton St,Madison,WI,53703,02,City - large,Dane,OPEN,,Supplemental Virtual,,608-204-6561,608-204-0553,FALSE,www.madison.k12.wi.us
0007,Abbotsford,0020,Abbotsford Elementary,Public School,Elementary School,K4,05,510 W Hemlock St,Abbotsford,WI,54405,10,Rural - fringe,Clark,OPEN,Title I,Supplemental Virtual,,715-223-4281,715-223-0691,FALSE,www.abbotsford.k12.wi.us
0007,Abbotsford,0040,Abbotsford Middle/Senior High,Public School,High School,06,12,307 N 4th Ave,Abbotsford,WI,54405,10,Rural - fringe,Clark,OPEN,Title I,Supplemental Virtual,,715-223-2386,715-223-3986,FALSE,www.abbotsford.k12.wi.us
3682,Monroe,0010,Abraham Lincoln Elementary,Public School,Elementary School,K4,05,2625 14th Avenue,Monroe,WI,53566,02,Town - distant,Green,OPEN,Title I,Supplemental Virtual,,608-328-7172,608-328-7228,FALSE,www.monroeschools.com
4074,Oconto Falls Public,0020,Abrams Elementary,Public School,Elementary School,K4,05,3000 Elm St,Abrams,WI,54101,08,Rural - distant,Oconto,OPEN,,Supplemental Virtual,,920-826-5819,920-826-7858,FALSE,www.ofpanthers.com
3619,Milwaukee,0316,Academy of Accelerated Learning,Public School,Elementary School,K4,05,3727 S 78th St,Milwaukee,WI,53220,01,City - large,Milwaukee,OPEN,Title I,Supplemental Virtual,Primary Years Programme,414-604-7300,414-604-7315,FALSE,www.milwaukee.k12.wi.us
